a,b,Target
2 , 4 , 26.67
3 , 5 , 40.67
4 , 6 , 58.67
5 , 7 , 80.67
6 , 8 , 106.67
7 , 9 , 136.67
8 , 10 , 170.67
9 , 11 , 208.67
10 , 12 , 250.67
11 , 13 , 296.67
1 , 3 , 10.67
2 , 4 , 20.67
3 , 5 , 34.67
4 , 6 , 52.67
5 , 7 , 74.67
6 , 8 , 100.67
7 , 9 , 130.67
8 , 10 , 164.67
9 , 11 , 202.67
10 , 12 , 244.67
10 , 12 , 2676.0
11 , 13 , 3472.0
12 , 14 , 4412.01
13 , 15 , 5508.01
14 , 16 , 6772.01
15 , 17 , 8216.01
16 , 18 , 9852.01
17 , 19 , 11692.01
18 , 20 , 13748.01
19 , 21 , 16032.01
1 , 2 , -7.67
2 , 3 , -3.67
3 , 4 , 2.33
4 , 5 , 10.33
5 , 6 , 20.33
6 , 7 , 32.33
7 , 8 , 46.33
8 , 9 , 62.33
9 , 10 , 80.33
10 , 11 , 100.33
5 , 12 , 385.0
6 , 13 , 427.0
7 , 14 , 469.0
8 , 15 , 511.0
9 , 16 , 553.0
10 , 17 , 595.0
11 , 18 , 637.0
12 , 19 , 679.0
13 , 20 , 721.0
14 , 21 , 763.0
1 , 2 , 23.0
2 , 3 , 31.0
3 , 4 , 39.0
4 , 5 , 47.0
5 , 6 , 55.0
6 , 7 , 63.0
7 , 8 , 71.0
8 , 9 , 79.0
9 , 10 , 87.0
10 , 11 , 95.0
2 , 3 , 29.5
3 , 4 , 36.5
4 , 5 , 43.5
5 , 6 , 50.5
6 , 7 , 57.5
7 , 8 , 64.5
8 , 9 , 71.5
9 , 10 , 78.5
10 , 11 , 85.5
11 , 12 , 92.5
1 , 5 , 140.0
2 , 6 , 184.0
3 , 7 , 228.0
4 , 8 , 272.0
5 , 9 , 316.0
6 , 10 , 360.0
7 , 11 , 404.0
8 , 12 , 448.0
9 , 13 , 492.0
10 , 14 , 536.0
1 , 7 , 240.0
2 , 8 , 282.0
3 , 9 , 324.0
4 , 10 , 366.0
5 , 11 , 408.0
6 , 12 , 450.0
7 , 13 , 492.0
8 , 14 , 534.0
9 , 15 , 576.0
10 , 16 , 618.0
1 , 4 , 202.5
2 , 5 , 235.5
3 , 6 , 268.5
4 , 7 , 301.5
5 , 8 , 334.5
6 , 9 , 367.5
7 , 10 , 400.5
8 , 11 , 433.5
9 , 12 , 466.5
10 , 13 , 499.5
